Level	Rule Name	Subject	Property	Value
ERROR	missing_label	obo:UBERON_0002106	rdfs:label		
ERROR	missing_label	obo:OBI_0600044	rdfs:label		
ERROR	missing_label	obo:OBI_0600052	rdfs:label		
ERROR	missing_label	obo:UBERON_0000029	rdfs:label		
ERROR	missing_label	obo:OBI_0001143	rdfs:label		
ERROR	missing_label	dc11:coverage	rdfs:label		
ERROR	missing_label	obo:OBI_0500001	rdfs:label		
ERROR	missing_label	obo:OBI_0000971	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/iao/pno.owl	rdfs:label		
ERROR	missing_label	obo:NCBITaxon_40674	rdfs:label		
ERROR	missing_label	obo:OBI_0000855	rdfs:label		
ERROR	missing_label	foaf:image	rdfs:label		
ERROR	missing_label	obo:OBI_0200000	rdfs:label		
ERROR	missing_label	dc11:creator	rdfs:label		
ERROR	missing_label	obo:OBI_0001937	rdfs:label		
ERROR	missing_label	obo:BFO_0000181	rdfs:label		
ERROR	missing_label	obo:OBI_0000848	rdfs:label		
ERROR	missing_label	obo:OBI_0000968	rdfs:label		
ERROR	missing_label	obo:OBI_0001936	rdfs:label		
ERROR	missing_label	obo:OBI_0000849	rdfs:label		
ERROR	missing_label	obo:OBI_0001938	rdfs:label		
ERROR	missing_label	urn:swrl#a2	rdfs:label		
ERROR	missing_label	http://swrl.stanford.edu/ontologies/3.3/swrla.owl#isRuleEnabled	rdfs:label		
ERROR	missing_label	urn:swrl#a1	rdfs:label		
ERROR	missing_label	obo:BFO_0000187	rdfs:label		
ERROR	missing_label	obo:BFO_0000184	rdfs:label		
ERROR	missing_label	dc11:source	rdfs:label		
ERROR	missing_label	obo:BFO_0000185	rdfs:label		
ERROR	missing_label	obo:BFO_0000186	rdfs:label		
ERROR	missing_label	obo:BFO_0000136	rdfs:label		
ERROR	missing_label	obo:BFO_0000137	rdfs:label		
ERROR	missing_label	obo:BFO_0000138	rdfs:label		
ERROR	missing_label	obo:OBI_0000341	rdfs:label		
ERROR	missing_label	obo:BFO_0000139	rdfs:label		
ERROR	missing_label	obo:NCBITaxon_2157	rdfs:label		
ERROR	missing_label	obo:PATO_0000047	rdfs:label		
ERROR	missing_label	obo:OBI_0000102	rdfs:label		
ERROR	missing_label	obo:OBI_0000218	rdfs:label		
ERROR	missing_label	obo:OBI_0000339	rdfs:label		
ERROR	missing_label	obo:BFO_0000132	rdfs:label		
ERROR	missing_label	obo:BFO_0000133	rdfs:label		
ERROR	missing_label	obo:BFO_0000134	rdfs:label		
ERROR	missing_label	oboInOwl:SynonymType	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/ro.owl#z	rdfs:label		
ERROR	missing_label	obo:OBI_0600024	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/ro.owl#x	rdfs:label		
ERROR	missing_label	obo:BFO_0000130	rdfs:label		
ERROR	missing_label	dc11:publisher	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/ro.owl#y	rdfs:label		
ERROR	missing_label	obo:BFO_0000129	rdfs:label		
ERROR	missing_label	obo:OBI_0500028	rdfs:label		
ERROR	missing_label	obo:OBI_1110116	rdfs:label		
ERROR	missing_label	obo:BFO_0000125	rdfs:label		
ERROR	missing_label	obo:BFO_0000126	rdfs:label		
ERROR	missing_label	obo:BFO_0000127	rdfs:label		
ERROR	missing_label	obo:BFO_0000007	rdfs:label		
ERROR	missing_label	oboInOwl:created_by	rdfs:label		
ERROR	missing_label	dc11:member	rdfs:label		
ERROR	missing_label	dc11:format	rdfs:label		
ERROR	missing_label	http://purl.obolibrary.org/obo/iao/d-acts.owl	rdfs:label		
ERROR	missing_label	obo:OBI_0000115	rdfs:label		
ERROR	missing_label	obo:OBI_0500027	rdfs:label		
ERROR	missing_label	obo:iao.owl	rdfs:label		
ERROR	missing_label	obo:OBI_0500026	rdfs:label		
ERROR	missing_label	obo:OBI_0000902	rdfs:label		
ERROR	missing_label	obo:OBI_0600038	rdfs:label		
ERROR	missing_label	obo:OBI_0000909	rdfs:label		
ERROR	missing_label	obo:BFO_0000121	rdfs:label		
